Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.82
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:50:47
End Time:,Tuesday, January 21, 2025, 14:51:48

Channel Data:
Chan,Energy,Counts
856,  2106.48,4
857,  2109.05,0
858,  2111.61,4
859,  2114.18,1
860,  2116.74,5
861,  2119.31,1
862,  2121.87,3
863,  2124.44,1
864,  2127.00,2
865,  2129.56,2
866,  2132.13,1
867,  2134.69,1
868,  2137.26,0
869,  2139.82,2
870,  2142.39,1
871,  2144.95,1
872,  2147.52,1
873,  2150.08,2
874,  2152.65,6
875,  2155.21,2
876,  2157.77,3
877,  2160.34,3
878,  2162.90,1
879,  2165.47,2
880,  2168.03,3
881,  2170.60,7
882,  2173.16,2
883,  2175.73,0
884,  2178.29,3
885,  2180.85,1
886,  2183.42,0
887,  2185.98,2
888,  2188.55,1
889,  2191.11,0
890,  2193.68,1
891,  2196.24,1
892,  2198.81,4
893,  2201.37,2
894,  2203.94,1
895,  2206.50,1
896,  2209.06,0
897,  2211.63,0
898,  2214.19,2
899,  2216.76,1
900,  2219.32,3
901,  2221.89,3
902,  2224.45,3
903,  2227.02,2
904,  2229.58,2
905,  2232.15,0
906,  2234.71,1
907,  2237.27,0
908,  2239.84,1
909,  2242.40,1
910,  2244.97,0
911,  2247.53,1
912,  2250.10,0
913,  2252.66,0
914,  2255.23,0
915,  2257.79,0
916,  2260.35,1
917,  2262.92,0
918,  2265.48,0
919,  2268.05,1
920,  2270.61,0
921,  2273.18,0
922,  2275.74,0
923,  2278.31,1
924,  2280.87,0
925,  2283.44,0
926,  2286.00,0
927,  2288.56,0
928,  2291.13,0
929,  2293.69,0
930,  2296.26,0
931,  2298.82,0
932,  2301.39,2
933,  2303.95,0
934,  2306.52,1
935,  2309.08,0
936,  2311.65,2
937,  2314.21,0
938,  2316.77,0
939,  2319.34,1
940,  2321.90,0
941,  2324.47,1
942,  2327.03,1
943,  2329.60,0
944,  2332.16,2
945,  2334.73,0
946,  2337.29,0
947,  2339.85,2
948,  2342.42,0
949,  2344.98,3
950,  2347.55,0
951,  2350.11,2
952,  2352.68,1
953,  2355.24,0
954,  2357.81,2
955,  2360.37,0
956,  2362.94,1
957,  2365.50,4
958,  2368.06,2
959,  2370.63,1
960,  2373.19,1
961,  2375.76,1
962,  2378.32,1
963,  2380.89,1
964,  2383.45,2
965,  2386.02,2
966,  2388.58,0
967,  2391.15,3
968,  2393.71,3
969,  2396.27,3
970,  2398.84,2
971,  2401.40,5
972,  2403.97,1
973,  2406.53,1
974,  2409.10,2
975,  2411.66,2
976,  2414.23,1
977,  2416.79,2
978,  2419.35,1
979,  2421.92,4
980,  2424.48,3
981,  2427.05,4
982,  2429.61,0
983,  2432.18,3
984,  2434.74,2
985,  2437.31,0
986,  2439.87,1
987,  2442.44,1
988,  2445.00,1
989,  2447.56,0
990,  2450.13,2
991,  2452.69,2
992,  2455.26,0
993,  2457.82,2
994,  2460.39,1
995,  2462.95,0
996,  2465.52,0
997,  2468.08,0
998,  2470.65,1
999,  2473.21,0
1000,  2475.77,1
1001,  2478.34,0
1002,  2480.90,0
1003,  2483.47,0
1004,  2486.03,0
1005,  2488.60,1
1006,  2491.16,0
1007,  2493.73,1
1008,  2496.29,0
1009,  2498.85,0
1010,  2501.42,0
1011,  2503.98,0
1012,  2506.55,0
1013,  2509.11,0
1014,  2511.68,0
1015,  2514.24,0
1016,  2516.81,0
1017,  2519.37,0
1018,  2521.94,0
1019,  2524.50,0
1020,  2527.06,1
1021,  2529.63,0
1022,  2532.19,0
1023,  2534.76,0
